Index Code,Phase,Module,Type,Title/Description,File Name,Storage Location,Source Category,Notes,Source_Phase
P4.M1.TX01,4,1,TX,Cost comparisons of plant- vs. animal-based food categories,P4_M1_TX01_CostComparison.txt,/ssot/phase4/module1/outputs/,ðŸŸ¢,Uses FAO cost and subsidy data; derived from FAOSTAT commodity database and OECD Producer Support Estimates.,phase4
P4.M1.DT01,4,1,DT,Cost of production by food category and region,P4_M1_DT01_CostOfProduction.csv,/ssot/phase4/module1/data/,ðŸŸ¢,Compiled from FAOStat and OECD databases; derived from FAOSTAT commodity database and OECD Producer Support Estimates.,phase4
P4.M2.TX01,4,2,TX,Labor and infrastructure readiness analysis,P4_M2_TX01_LaborInfraMapping.txt,/ssot/phase4/module2/outputs/,ðŸŸ¢,Uses FAO labor data and WB infrastructure ratings; labor-hour estimates based on FAO AgriLab dataset; infra scores from World Bank Logistics Index.,phase4
P4.M2.DT01,4,2,DT,Labor hours and infrastructure scores by region and food type,P4_M2_DT01_LaborInfraData.csv,/ssot/phase4/module2/data/,ðŸŸ¢,Normalized scores across food system inputs,phase4
P4.M3.TX01,4,3,TX,Trade flows and supply chain chokepoints,P4_M3_TX01_TradeSupplyAnalysis.txt,/ssot/phase4/module3/outputs/,ðŸŸ¢,Maps critical flows and vulnerabilities,phase4
P4.M3.DT01,4,3,DT,Export/import volumes for top 5 plant-based staples,P4_M3_DT01_TradeFlows.csv,/ssot/phase4/module3/data/,ðŸŸ¢,Volume in million metric tons,phase4
P4.M4.TX01,4,4,TX,Transition costs and investment case studies,P4_M4_TX01_TransitionCosts.txt,/ssot/phase4/module4/outputs/,ðŸŸ¡,Uses scenario modeling from FAO and IMF reports; country scenarios synthesized from FAO Investment Centre reports and IMF Global Fiscal Monitor.,phase4
P4.M4.DT01,4,4,DT,Transition investment needs by country and sector,P4_M4_DT01_InvestmentScenarios.csv,/ssot/phase4/module4/data/,ðŸŸ¡,Per capita costs and total needs,phase4
P3.M1.TX01,3,1,TX,Comparative environmental impacts of plant-based vs conventional diets,P3_M1_TX01_ComparativeImpact.txt,/ssot/phase3/module1/outputs/,ðŸŸ¢ A,"Sources include Poore & Nemecek (2018), Clark et al. (2019), IPCC reports",phase3
P3.M2.FG01,3,2,FG,Carbon and biodiversity benefits of land rewilding,P3_M2_FG01_LandRewilding.png,/ssot/phase3/module2/outputs/,ðŸŸ¢ A,Visual summary based on land-use projections and rewilding scenarios,phase3
P3.M2.TX01,3,2,TX,Land sparing and carbon sequestration potential,P3_M2_TX01_LandSparing.txt,/ssot/phase3/module2/outputs/,ðŸŸ¢ A,"Sources include IAM models, Hayek et al. (2021)",phase3
P3.M3.TX01,3,3,TX,Risks and trade-offs of scaling plant-based food systems,P3_M3_TX01_Tradeoffs.txt,/ssot/phase3/module3/outputs/,ðŸŸ¡ B,Includes synthesis of risks from Springmann et al. and Searchinger et al.,phase3
P2.M1.DT01,2,1,DT,Crop allocation by nutrient density,P2_M1_DT01_CropAllocation.csv,/ssot/phase2/module1/data/,ðŸŸ¢ A,"Compiled nutrient-per-hectare data from FAO and peer-reviewed agronomic literature to prioritize land-efficient crops for protein, iron, and calcium delivery.",phase2
P2.M1.FG01,2,1,FG,Bar chart: Protein yield per hectare,P2_M1_FG01_ProteinYieldBarChart.png,/ssot/phase2/module1/outputs/,ðŸŸ¢ A,Visualizes protein yield per hectare for key crops based on synthesized agronomic productivity data. Supports crop selection modeling.,phase2
P2.M1.TX01,2,1,TX,Synthesis summary of crop allocation strategies,P2_M1_TX01_CropAllocationSummary.txt,/ssot/phase2/module1/outputs/,ðŸŸ¢ A,Analytical synthesis integrating nutrient density and land-use efficiency to inform crop prioritization for global plant-based food systems.,phase2
P2.M2.DT01,2,2,DT,Crop yield by climate zone,P2_M2_DT01_YieldByClimate.csv,/ssot/phase2/module2/data/,ðŸŸ¢ A,"Estimates of climate-specific crop yields modeled from FAO GAEZ zones, adjusted for regional productivity data. Used in spatial feasibility modeling.",phase2
P2.M2.TX01,2,2,TX,Summary of crop-climate yield feasibility,P2_M2_TX01_YieldFeasibilitySummary.txt,/ssot/phase2/module2/outputs/,ðŸŸ¢ A,Summarizes comparative yield potential across climate zones. Highlights geographic yield constraints and informs adaptive crop placement.,phase2
P2.M3.DT01,2,3,DT,"Water, GHG, and land trade-offs by crop",P2_M3_DT01_TradeOffMetrics.csv,/ssot/phase2/module3/data/,ðŸŸ¢ A,"Compiled water, GHG, and land-use intensity values per crop from Poore & Nemecek (2018) and FAO environmental datasets for trade-off modeling.",phase2
P2.M3.TX01,2,3,TX,Summary of crop-level environmental trade-offs,P2_M3_TX01_TradeOffSummary.txt,/ssot/phase2/module3/outputs/,ðŸŸ¢ A,Narrative synthesis on sustainability trade-offs across key crops. Frames the role of cereals and legumes in balancing ecological impacts.,phase2
P2.M4.DT01,2,4,DT,Regional cropland and yield potential,P2_M4_DT01_RegionalYieldPotential.csv,/ssot/phase2/module4/data/,ðŸŸ¢ A,Regional cropland area and average yield values sourced from FAOSTAT and agroecological studies. Supports equity and feasibility modeling.,phase2
P2.M4.TX01,2,4,TX,Summary of regional variation in plant-based yield potential,P2_M4_TX01_RegionalProductionSummary.txt,/ssot/phase2/module4/outputs/,ðŸŸ¢ A,Summarizes regional production disparities and their implications for closing global yield gaps under a plant-based scenario.,phase2
P2.M5.DT01,2,5,DT,Systemic risks and constraints,P2_M5_DT01_SystemRisks.csv,/ssot/phase2/module5/data/,ðŸŸ¢ A,"Catalog of systemic risks and agronomic stressors (climate, soil, pests) informed by IPCC and FAO resilience frameworks.",phase2
P2.M5.TX01,2,5,TX,Summary of system constraints and resilience limits,P2_M5_TX01_SystemRisksSummary.txt,/ssot/phase2/module5/outputs/,ðŸŸ¢ A,Narrative synthesis of system failure points and adaptive strategies required to maintain productivity in plant-based food systems.,phase2
P5.M1.TX01,5,1,TX,Cultural norms and willingness to change diets,P5_M1_TX01_CulturalNorms.txt,/ssot/phase5/module1/outputs/,ðŸŸ¢,"Draws on FAO cultural food heritage reports, Pew surveys, and anthropological sources.",phase5
P5.M1.DT01,5,1,DT,Cultural dietary indicators by region,P5_M1_DT01_DietaryCulturalIndicators.csv,/ssot/phase5/module1/data/,ðŸŸ¢,"Compiled from Pew Research (2021), FAO foodways, and regional ethnographies.",phase5
P5.M2.TX01,5,2,TX,Institutional positions and political economy risks,P5_M2_TX01_PoliticalPower.txt,/ssot/phase5/module2/outputs/,ðŸŸ¡,"Incorporates OpenSecrets lobbying data, EU CAP summaries, and FAO positions on transitions.",phase5
P5.M2.DT01,5,2,DT,Food institution positions and influence levels,P5_M2_DT01_InstInfluence.csv,/ssot/phase5/module2/data/,ðŸŸ¡,"Categorized positions and lobbying metrics from FAO, USDA, EC, Brazil MAPA.",phase5
P5.M3.TX01,5,3,TX,Legal and policy constraints on plant-based systems,P5_M3_TX01_RegulatoryBarriers.txt,/ssot/phase5/module3/outputs/,ðŸŸ¢,"Synthesized from FAOLEX, WTO agreements, and national food labeling statutes.",phase5
P5.M3.DT01,5,3,DT,Subsidy distribution and labeling restrictions by country,P5_M3_DT01_SubsidiesLabeling.csv,/ssot/phase5/module3/data/,ðŸŸ¢,Constructed using WTO subsidy notifications and FAO legal analysis.,phase5
P5.M4.TX01,5,4,TX,Framing effects and trust in food communication,P5_M4_TX01_PublicFraming.txt,/ssot/phase5/module4/outputs/,ðŸŸ¡,"Based on IPES-Food framing studies, global trust surveys, and media content analysis.",phase5
P5.M4.DT01,5,4,DT,Trust and framing effectiveness by region,P5_M4_DT01_TrustFraming.csv,/ssot/phase5/module4/data/,ðŸŸ¡,Aggregated from global survey data and communication effectiveness literature.,phase5
P0.M1.DT01,0,1,DT,Global food production by category (weight + calories),P0_M1_DT01_GlobalFoodProduction.csv,/ssot/phase0/module1/data/,ðŸŸ¢ A,Global food production categorized by weight and caloric content. Aggregated from FAO and Poore & Nemecek.,phase0
P0.M1.DT02,0,1,DT,Top global food commodities by production weight,P0_M1_DT02_TopCommoditiesByWeight.csv,/ssot/phase0/module1/data/,ðŸŸ¢ A,Top food commodities ranked by global production weight. Based on FAOSTAT crop volumes.,phase0
P0.M1.DT03,0,1,DT,Top global food commodities by caloric contribution,P0_M1_DT03_TopCommoditiesByCalories.csv,/ssot/phase0/module1/data/,ðŸŸ¢ A,Top food commodities by caloric contribution. Derived from FAOSTAT Food Balance Sheets.,phase0
P0.M1.DT04,0,1,DT,Regional patterns in major food commodity production,P0_M1_DT04_RegionalProductionPatterns.csv,/ssot/phase0/module1/data/,ðŸŸ¢ A,"Regional specialization in food commodity production. E.g. maize in North America, rice in Asia.",phase0
P0.M1.DT05,0,1,DT,Allocation of global crop calories to animal feed,P0_M1_DT05_CropAllocationToFeed.csv,/ssot/phase0/module1/data/,ðŸŸ¢ A,Estimates of global crop calories diverted to animal feed. Drawn from Poore & Nemecek and FAO.,phase0
P0.M1.FG02,0,1,FG,Plant vs. animal-based food production (weight and caloric contribution),P0_M1_FG02_PlantVsAnimalProduction.svg,/ssot/phase0/module1/outputs/,ðŸŸ¢ A,Figure comparing plant- vs. animal-based food production by weight and calorie share.,phase0
P0.M1.FG03,0,1,FG,Regional food production volumes by continent,P0_M1_FG03_RegionalFoodProduction.svg,/ssot/phase0/module1/outputs/,ðŸŸ¢ A,Regional comparison of food production volumes by continent. Based on P0.M1.DT04 data.,phase0
P0.M1.TX01,0,1,TX,"Structured synthesis of global food production patterns (weight, calories, categories, regions, feed)",P0_M1_TX01_GlobalFoodProductionOverview.txt,/ssot/phase0/module1/outputs/,ðŸŸ¢ A,"Structured synthesis of global food production by category, region, and system type.",phase0
P0.M2.DT01,0,2,DT,"Global food losses and waste by stage, region, and commodity",P0_M2_DT01_FoodLossWasteByStageRegionCommodity.csv,/ssot/phase0/module2/data/,ðŸŸ¢ A,"Derived from FAO (2011, 2019) and UNEP (2021) datasets. Disaggregates food loss and waste by stage, region, and commodity.",phase0
P0.M2.DT02,0,2,DT,Global food loss and waste by food group and supply chain stage,P0_M2_DT02_FoodLossByGroupAndStage.csv,/ssot/phase0/module2/data/,ðŸŸ¢ A,"Loss and waste rates by food group and supply chain stage. Source: FAO (2011), UNEP (2021).",phase0
P0.M2.FG01,0,2,FG,Global Food Loss and Waste Distribution by Supply Chain Stage,P0_M2_FG01_FoodLossWasteByStage.svg,/ssot/phase0/module2/outputs/,ðŸŸ¢ A,Bar chart visualizing estimated percentage loss by supply chain stage. Based on FAO and UNEP datasets.,phase0
P0.M2.FG02,0,2,FG,Regional Food Loss and Waste Distribution by Supply Chain Stage,P0_M2_FG02_RegionalFoodLossWasteByStage.svg,/ssot/phase0/module2/outputs/,ðŸŸ¢ A,Illustrates regional variation in food loss and waste across supply chain stages. Based on FAO and UNEP data.,phase0
P0.M2.TX01,0,2,TX,"Evidence-based synthesis of food loss and waste distribution, causes, and disparities",P0_M2_TX01_FoodLossWasteSynthesis.txt,/ssot/phase0/module2/outputs/,ðŸŸ¢ A,Synthesis of global food loss and waste patterns. Draws on institutional data to highlight stage- and region-specific inefficiencies.,phase0
P0.M3.DT01,0,3,DT,Global agricultural land allocation by use and commodity,P0_M3_DT01_GlobalLandUseByCategory.csv,/ssot/phase0/module3/data/,ðŸŸ¢ A,"Integrates land use data from FAOSTAT, EarthStat, and Poore & Nemecek (2018). Provides land allocation by food system.",phase0
P0.M3.DT02,0,3,DT,Global water and nitrogen use in agriculture,P0_M3_DT02_WaterNitrogenUseInAgriculture.csv,/ssot/phase0/module3/data/,ðŸŸ¢ A,"Water and nitrogen input use across crops. Sources: AQUASTAT, FAOSTAT, Poore & Nemecek (2018).",phase0
P0.M3.FG01,0,3,FG,Resource Allocation in Global Food Systems â€“ Plant vs. Animal-Based,P0_M3_FG01_ResourceUsePlantVsAnimal.svg,/ssot/phase0/module3/outputs/,ðŸŸ¢ A,Visual comparison of resource use between plant- and animal-based food systems.,phase0
P0.M3.TX01,0,3,TX,"Narrative synthesis of global land, water, and nitrogen use patterns",P0_M3_TX01_LandWaterNutrientUseSynthesis.txt,/ssot/phase0/module3/outputs/,ðŸŸ¢ A,"Narrative synthesis of global land, water, and nitrogen use. Draws on Phase 0 empirical inputs.",phase0
P0.M4.DT01,0,4,DT,Global food trade flows by commodity and country,P0_M4_DT01_GlobalFoodTradeFlows.csv,/ssot/phase0/module4/data/,ðŸŸ¢ A,FAOSTAT trade data by commodity and country. Provides bilateral trade volume and value.,phase0
P0.M4.DT02,0,4,DT,Agricultural subsidy structures by region,P0_M4_DT02_AgriculturalSubsidyStructures.csv,/ssot/phase0/module4/data/,ðŸŸ¢ A,OECD and WTO agricultural subsidy reports. Disaggregates subsidy flows by type and region.,phase0
P0.M4.FG01,0,4,FG,Visual of food trade interdependence network,P0_M4_FG01_FoodTradeNetwork.svg,/ssot/phase0/module4/outputs/,ðŸŸ¢ A,Network diagram showing global interdependence in food trade flows. Based on bilateral trade data from FAOSTAT.,phase0
P0.M4.TX01,0,4,TX,Structural and economic organization of the global food system,P0_M4_TX01_EconomicStructureFoodSystem.txt,/ssot/phase0/module4/outputs/,ðŸŸ¢ A,"Summarizes trade architecture, subsidy regimes, and market concentration in the global food system.",phase0
P0.M5.DT01,0,5,DT,Global religious and cultural dietary norms,P0_M5_DT01_GlobalReligiousDietaryNorms.csv,/ssot/phase0/module5/data/,ðŸŸ¢ A,"Summarizes major religious and cultural dietary restrictions by region. Based on Pew, FAO, and WRI.",phase0
P0.M5.DT02,0,5,DT,National food regimes and political economy of animal agriculture,P0_M5_DT02_NationalFoodRegimes.csv,/ssot/phase0/module5/data/,ðŸŸ¢ A,Outlines national food regimes and the political economy of animal agriculture. Sources include IPES-Food and FAO.,phase0
P0.M5.DT03,0,5,DT,Political and industry actors shaping animal agriculture policy,P0_M5_DT03_AnimalAgriLobbyActors.csv,/ssot/phase0/module5/data/,ðŸŸ¢ A,Documents corporate and political actors influencing livestock policy. Drawn from IPES-Food and FAO.,phase0
P0.M5.FG01,0,5,FG,Annotated map of cultural-political dietary resistance domains,P0_M5_FG01_DietaryResistanceMap.svg,/ssot/phase0/module5/outputs/,ðŸŸ¢ A,Annotated global map showing political-cultural dietary resistance. Data coded by region and dominant system.,phase0
P0.M5.TX01,0,5,TX,"Synthesis of cultural, religious, and political barriers to food system change",P0_M5_TX01_CulturalPoliticalConstraints.txt,/ssot/phase0/module5/outputs/,ðŸŸ¢ A,Synthesizes cultural and political constraints to food system change. Maps resistance to dietary shifts.,phase0
P0.M6.DT01,0,6,DT,Harmonized global food system baseline dataset,P0_M6_DT01_GlobalFoodSystemBaseline.csv,/ssot/phase0/module6/data/,ðŸŸ¢ A,"Harmonized dataset compiling Phase 0 Modules 1â€“5. Includes production, loss, inputs, and sociopolitical constraints.",phase0
P0.M6.FG01,0,6,FG,Global food system flow diagram (Sankey),P0_M6_FG01_FoodSystemSankey.svg,/ssot/phase0/module6/outputs/,ðŸŸ¢ A,"Sankey diagram showing flows from production through loss, feed, waste, and human consumption.",phase0
P0.M6.TX01,0,6,TX,Structured synthesis of the global food system based on Modules 1â€“5,P0_M6_TX01_GlobalFoodSystemSynthesis.txt,/ssot/phase0/module6/outputs/,ðŸŸ¢ A,Structured synthesis of the global food system using harmonized data from all Phase 0 modules.,phase0
P0.M6.TX02,0,6,TX,Historical synthesis of the food system from 1960 to present,P0_M6_TX02_HistoricalEvolutionFoodSystem.txt,/ssot/phase0/module6/outputs/,ðŸŸ¢ A,"Historical timeline of the global food system (1960â€“present), including Green Revolution and liberalization.",phase0
P7.M1.TX01,7,1,TX,Critical assumptions and sensitivity in prior phases,P7_M1_TX01_Assumptions.txt,/ssot/phase7/module1/outputs/,ðŸŸ¢,"Draws on critiques from IPCC, EAT-Lancet, and empirical variance from GDQP.",phase7
P7.M1.DT01,7,1,DT,Parameter sensitivity ranges for dietary and land models,P7_M1_DT01_SensitivityTable.csv,/ssot/phase7/module1/data/,ðŸŸ¢,Compiled from modeled variance in Phases 1â€“3 and external benchmarks.,phase7
P7.M2.TX01,7,2,TX,Empirical gaps and evidence conflicts in prior findings,P7_M2_TX01_EvidenceGaps.txt,/ssot/phase7/module2/outputs/,ðŸŸ¢,"Based on FAO SOFI 2023, WB Food Security Tracker, and dietary survey reviews.",phase7
P7.M2.DT01,7,2,DT,Evidence gap typologies and implications by domain,P7_M2_DT01_EvidenceGaps.csv,/ssot/phase7/module2/data/,ðŸŸ¢,Compiled from known institutional conflicts and data voids in Phases 1â€“6.,phase7
P7.M3.TX01,7,3,TX,External risks and disruption scenarios,P7_M3_TX01_RiskFactors.txt,/ssot/phase7/module3/outputs/,ðŸŸ¢,"Draws from IPCC risk analyses, FAO climate-food reports, and UNCTAD trade indexes.",phase7
P7.M3.DT01,7,3,DT,External risk matrix for transition scenarios,P7_M3_DT01_RiskMatrix.csv,/ssot/phase7/module3/data/,ðŸŸ¢,"Matrix of risks impacting supply, trade, and infrastructure across case types.",phase7
P7.M4.TX01,7,4,TX,Interdisciplinary and stakeholder critiques of transition,P7_M4_TX01_Critiques.txt,/ssot/phase7/module4/outputs/,ðŸŸ¡,"Synthesizes dissent from rural studies, indigenous forums, and political ecology journals.",phase7
P7.M4.DT01,7,4,DT,Critique types and sources by disciplinary origin,P7_M4_DT01_CritiqueTable.csv,/ssot/phase7/module4/data/,ðŸŸ¡,Coded critiques from peer-reviewed journals and institutional commentary.,phase7
P6.M1.TX01,6,1,TX,Policy tools for dietary transition,P6_M1_TX01_PolicyInstruments.txt,/ssot/phase6/module1/outputs/,ðŸŸ¢,"FAOLEX legal review, OECD country reports, EU Green Deal policy analysis.",phase6
P6.M1.DT01,6,1,DT,Examples of dietary policy mechanisms by country,P6_M1_DT01_PolicyExamples.csv,/ssot/phase6/module1/data/,ðŸŸ¢,Compiled from policy trial databases and national legal registries.,phase6
P6.M2.TX01,6,2,TX,Financial mechanisms for dietary transition,P6_M2_TX01_FinancialMechanisms.txt,/ssot/phase6/module2/outputs/,ðŸŸ¡,Based on IMF and UNEP analyses of green finance in food systems.,phase6
P6.M2.DT01,6,2,DT,Typology of financial instruments and actors,P6_M2_DT01_FinancialTools.csv,/ssot/phase6/module2/data/,ðŸŸ¡,"Sourced from UN, IMF, EU databases on transition financing.",phase6
P6.M3.TX01,6,3,TX,Multilateral and institutional transition pathways,P6_M3_TX01_Institutions.txt,/ssot/phase6/module3/outputs/,ðŸŸ¡,"Based on UN Food Systems Summit briefs, WTO notifications, and WBA reports.",phase6
P6.M3.DT01,6,3,DT,Institutional mechanisms and policy instruments,P6_M3_DT01_Institutions.csv,/ssot/phase6/module3/data/,ðŸŸ¡,Compiled from official intergovernmental publications and multilateral benchmarks.,phase6
P6.M4.TX01,6,4,TX,Behavioral and educational transition levers,P6_M4_TX01_CivilSociety.txt,/ssot/phase6/module4/outputs/,ðŸŸ¢,"Draws on IPES-Food narratives, FAO civil reports, and UNESCO curriculum studies.",phase6
P6.M4.DT01,6,4,DT,Examples of civil society and education initiatives,P6_M4_DT01_CivilInitiatives.csv,/ssot/phase6/module4/data/,ðŸŸ¢,Compiled from international civil society mapping and case studies.,phase6
P1.M1.DT01,1,1,DT,Globally harmonized nutrient intake targets across demographic groups,P1_M1_DT01_NutrientRequirements.csv,/ssot/phase1/module1/data/,ðŸŸ¢ A,"Includes energy, macronutrients, and micronutrient requirements across life stages. Data harmonized from FAO/WHO/UNU, EFSA, NIH, and GBD 2019 sources.",phase1
P1.M1.FG01,1,1,FG,Global Nutrient Coverage Map (placeholder),P1_M1_FG01_GlobalNutrientCoverageMap.svg,/ssot/phase1/module1/outputs/,ðŸŸ¢ A,Placeholder for future comparative visualization. To be updated in subsequent modules.,phase1
P1.M1.TX01,1,1,TX,Methodology and source alignment for global nutrient target harmonization,P1_M1_TX01_NutrientTargetsSummary.txt,/ssot/phase1/module1/outputs/,ðŸŸ¢ A,"Documents the harmonization process, demographic structure, unit standardization, and source hierarchy.",phase1
P1.M2.DT01,1,2,DT,Nutrient composition per 100g edible portion for top global commodities,P1_M2_DT01_NutrientComposition_TopCommodities.csv,/ssot/phase1/module2/data/,ðŸŸ¢ A,"Standardized nutrient profiles for sugarcane, maize, rice, wheat, and potatoes",phase1
P1.M2.DT02,1,2,DT,"Global nutrient availability by food type, category, and region",P1_M2_DT02_NutrientAvailabilityByFood.csv,/ssot/phase1/module2/data/,ðŸŸ¢ A,Computed using Phase 0 volumes and USDA/INFOODS nutrient densities,phase1
P1.M2.FG01,1,2,FG,Global nutrient supply vs. population-weighted requirements,P1_M2_FG01_NutrientSupplyVsRequirement.svg,/ssot/phase1/module2/outputs/,ðŸŸ¢ A,Log-scale visual comparison of supply vs. Phase 1 Module 1 needs,phase1
P1.M2.TX01,1,2,TX,Methodology for estimating nutrient availability from global food production,P1_M2_TX01_Method_NutrientAvailability.txt,/ssot/phase1/module2/outputs/,ðŸŸ¢ A,"Covers integration pipeline, conversions, assumptions, and boundaries",phase1
P1.M3.DT01,1,3,DT,Bioavailability adjustment factors by nutrient and food source,P1_M3_DT01_BioavailabilityAdjustmentFactors.csv,/ssot/phase1/module3/data/,ðŸŸ¢ A,"Based on midpoint estimates from WHO/FAO consultations, EFSA opinions, NIH ODS profiles, and major nutrient bioavailability reviews. Values reflect plant-based, animal-based, and mixed-diet average absorption fractions.",phase1
P1.M3.DT02,1,3,DT,Bioavailability-adjusted nutrient availability by food commodity,P1_M3_DT02_AdjustedNutrientAvailability.csv,/ssot/phase1/module3/data/,ðŸŸ¢ A,"Adjusted from P1.M2.DT02 using mixed-diet absorption coefficients from WHO/FAO, EFSA, and peer-reviewed sources. Represents the estimated absorbable nutrient quantities available globally.",phase1
P1.M3.FG01,1,3,FG,Gross vs. bioavailable nutrient supply (global total),P1_M3_FG01_AbsorbableVsSupplied.svg,/ssot/phase1/module3/outputs/,ðŸŸ¢ A,Compares gross nutrient supply (Module 2) to absorbable quantities based on bioavailability coefficients (Module 3). Uses log scale for visibility across orders of magnitude.,phase1
P1.M3.TX01,1,3,TX,Methodology for bioavailability adjustment of nutrient supply,P1_M3_TX01_BioavailabilityModelingMethod.txt,/ssot/phase1/module3/outputs/,ðŸŸ¢ A,"Documents sources, coefficients, and calculation process used to convert gross nutrient supply into absorbable equivalents. Based on mixed-diet estimates and authoritative institutional and scientific sources.",phase1
P1.M4.DT01,1,4,DT,Demographic adequacy ratios for bioavailable nutrient supply,P1_M4_DT01_NutrientAdequacyByGroup.csv,/ssot/phase1/module4/data/,ðŸŸ¢ A,Compares per capita bioavailable supply (from M3) to per capita nutrient requirements (from M1) across 16 demographic groups. Ratios below 1 indicate shortfall risks.,phase1
P1.M4.FG01,1,4,FG,Average global nutrient adequacy ratios by nutrient,P1_M4_FG01_DeficiencyRiskByNutrient.svg,/ssot/phase1/module4/outputs/,ðŸŸ¢ A,Bar chart showing the average adequacy ratio for each nutrient across all demographic groups. Red line indicates the threshold of 1.0 (100% adequacy). Values below this line signal global shortfall risks.,phase1
P1.M4.TX01,1,4,TX,Methodology for modeling demographic adequacy of nutrient intake,P1_M4_TX01_AdequacyModelingMethod.txt,/ssot/phase1/module4/outputs/,ðŸŸ¢ A,Details how daily per capita supply from Module 3 was compared to group-specific requirements from Module 1. Emphasizes assumptions and constraints related to uniformity and data aggregation.,phase1
P1.M5.DT01,1,5,DT,Matrix of synergistic and inhibitory nutrient interactions in plant-based diets,P1_M5_DT01_SynergyInhibitionMatrix.csv,/ssot/phase1/module5/data/,ðŸŸ¢ A,"Includes iron, zinc, calcium, magnesium, vitamin A and D interactions. Effect sizes synthesized from WHO/FAO reports, EFSA opinions, NIH summaries, and nutrient absorption literature.",phase1
P1.M5.FG01,1,5,FG,Nutrient interaction network of synergies and inhibitors in plant-based systems,P1_M5_FG01_NutrientInteractionMap.svg,/ssot/phase1/module5/outputs/,ðŸŸ¢ A,"Visual network of known nutrient synergies (green edges) and inhibitors (red edges) based on WHO/FAO, EFSA, and scientific literature.",phase1
P1.M5.TX01,1,5,TX,Methodology for identifying synergistic and inhibitory nutrient interactions,P1_M5_TX01_InteractionAdjustmentMethod.txt,/ssot/phase1/module5/outputs/,ðŸŸ¢ A,Summarizes sources and approach for mapping bioavailability-affecting nutrient interactions. Distinguishes between synergy and inhibition.,phase1
P1.M6.DT01,1,6,DT,Risk classification of micronutrient adequacy by demographic group,P1_M6_DT01_MicronutrientRiskByGroup.csv,/ssot/phase1/module6/data/,ðŸŸ¢ A,"Classifies adequacy risk by nutrient and demographic group using thresholds (<0.6: high risk, <0.9: moderate, <1.0: marginal, â‰¥1.0: adequate).",phase1
P1.M6.FG01,1,6,FG,Heatmap of micronutrient risk levels across demographic groups,P1_M6_FG01_RiskHeatmapByNutrient.svg,/ssot/phase1/module6/outputs/,ðŸŸ¢ A,Visualizes the risk classification for each key micronutrient and demographic group using color-coded heat levels. Based on adequacy thresholds established in Module 6.,phase1
P1.M6.TX01,1,6,TX,Risk classification criteria for population-level micronutrient adequacy,P1_M6_TX01_RiskClassificationMethod.txt,/ssot/phase1/module6/outputs/,ðŸŸ¢ A,Defines adequacy risk thresholds by nutrient based on international guidelines. Explains classification logic and assumptions applied across age and sex groups.,phase1
P1.M7.DT01,1,7,DT,Boundary case scenarios testing nutritional limits of plant-based diets,P1_M7_DT01_BoundaryCaseScenarios.csv,/ssot/phase1/module7/data/,ðŸŸ¢ A,"Defines six dietary edge cases with demographic, dietary, and biochemical risk assumptions. Identifies expected limiting nutrients and projected failure risks based on Modules 4â€“6.",phase1
P1.M7.FG01,1,7,FG,Nutritional risk escalation by boundary case scenario,P1_M7_FG01_BoundaryCaseOutcomes.svg,/ssot/phase1/module7/outputs/,ðŸŸ¢ A,"Color-coded visualization of expected nutritional vulnerability for six plant-based boundary scenarios. Draws on adequacy, risk, and interaction modules to highlight structural limitations.",phase1
P1.M7.TX01,1,7,TX,Methodological framework for testing plant-based dietary boundary scenarios,P1_M7_TX01_BoundaryTestingMethod.txt,/ssot/phase1/module7/outputs/,ðŸŸ¢ A,Defines how edge-case diets and at-risk populations were selected and modeled. Clarifies limitations and modeling scope. Supports risk-focused synthesis in Phase 8.,phase1
