Index Code,Phase,Module,Type,Title/Description,File Name,Storage Location,Source Category,Notes
P9.M1.DT01,9,1,DT,Module 1 data table,P9_M1_DT01_EquityExposureOverlay.csv,/ssot/phase9/module1/data/,游릭 A,"Aggregates equity risks by geography, class, and gender."
P9.M2.DT01,9,2,DT,Module 2 data table,P9_M2_DT01_UncertaintyRegister.csv,/ssot/phase9/module2/data/,游릭 A,Captures uncertainty ranges derived from scenario propagation.
P9.M3.DT01,9,3,DT,Module 3 data table,P9_M3_DT01_SystemicInteractionMap.csv,/ssot/phase9/module3/data/,游릭 A,Maps interaction effects and systemic risk linkages.
P9.M4.DT01,9,4,DT,Module 4 data table,P9_M4_DT01_RemediationMatrix.csv,/ssot/phase9/module4/data/,游릭 A,Structures mitigation strategies by failure vector.
P9.M5.DT01,9,5,DT,Module 5 data table,P9_M5_DT01_FinalFeasibilityGrades.csv,/ssot/phase9/module5/data/,游릭 A,Outputs final feasibility grades with rationale.
P9.M1.TX01,9,1,TX,Module 1 narrative output,P9_M1_TX01_EquityExposureNarrative.txt,/ssot/phase9/module1/outputs/,游릭 A,Narrative explanation of equity exposure overlay.
P9.M2.TX01,9,2,TX,Module 2 narrative output,P9_M2_TX01_UncertaintyRegisterNarrative.txt,/ssot/phase9/module2/outputs/,游릭 A,Uncertainty interpretation and modeling summary.
P9.M3.TX01,9,3,TX,Module 3 narrative output,P9_M3_TX01_SystemicRiskInteractions.txt,/ssot/phase9/module3/outputs/,游릭 A,Systemic interlock and cascade logic summary.
P9.M4.TX01,9,4,TX,Module 4 narrative output,P9_M4_TX01_RemediationArchitecture.txt,/ssot/phase9/module4/outputs/,游릭 A,Strategic mitigation narrative by failure node.
P9.M5.TX01,9,5,TX,Module 5 narrative output,P9_M5_TX01_FinalVerdictNarrative.txt,/ssot/phase9/module5/outputs/,游릭 A,Text summary of final feasibility verdict logic.
